行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,環河北路,3段95號左側樓梯下,121.507038,25.083562,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段392號,121.52666,25.11278,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段415號(蘭興2號公園),121.526569,25.11317,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段420號,121.527077,25.113601,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段800號(美國學校)(二)近776巷口,121.528828,25.116558,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,天母東路,68號 (新光三越) (二),121.534363,25.118014,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段78號,121.530753,25.112072,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段(蘭雅公園前),121.530316,25.109546,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士東路,180號(台電),121.532309,25.112502,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士東路,190號(法院正門200巷)(一),121.5336,25.111953,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,東山路,路底 (忠孝新村站牌 旁),121.539349,25.113706,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士東路,264號 對面,121.536468,25.113375,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士東路,238號 對面,121.535015,25.113041,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士東路,180號台電對面,121.532528,25.112691,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段77號(棒球場)(一) 118巷口對面,121.531895,25.113299,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段207巷1號(啟明學校)旁(二),121.534682,25.117343,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,天母東路,111號,121.536817,25.11826,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,天母東路,1之5號,121.531129,25.118202,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段18號(台銀),121.530682,25.119022,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段60號,121.531407,25.120886,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段186號,121.533012,25.124756,嚴禁投入家用垃圾，違者重罰新台幣6000元
